IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
140002334,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,3/28/2015,19:31,SOUTHERN,"ARREST, CITED",4TH ST / HOWARD ST,-122.4027126,37.78325965,"(37.7832596543979, -122.402712593282)"
140002390,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,3/29/2015,20:00,SOUTHERN,"ARREST, CITED",MISSION ST / 5TH ST,-122.406482,37.78273179,"(37.7827317884887, -122.406481972743)"
140002588,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,3/30/2015,17:30,MISSION,NONE,DUBOCE AV / VALENCIA ST,-122.4223674,37.76986824,"(37.7698682392455, -122.422367409563)"
140002704,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,3/31/2015,23:10,BAYVIEW,"ARREST, CITED",3RD ST / LASALLE AV,-122.3898656,37.73716994,"(37.7371699446203, -122.389865610332)"
140002782,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,4/1/2015,23:50,INGLESIDE,"ARREST, CITED",MISSION ST / OCEAN AV,-122.4353855,37.72391045,"(37.7239104470753, -122.435385454946)"
140002823,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,4/2/2015,22:45,SOUTHERN,NONE,FOLSOM ST / 3RD ST,-122.3989327,37.78378482,"(37.7837848211584, -122.398932711095)"
140002942,FRAUD,FALSE ID TO PEACE OFFICER,Thursday,4/3/2015,0:40,BAYVIEW,"ARREST, BOOKED",3RD ST / JERROLD AV,-122.3893106,37.73874184,"(37.738741839511, -122.389310644607)"
140002942,WARRANTS,WARRANT ARREST,Thursday,4/4/2015,0:40,BAYVIEW,"ARREST, BOOKED",3RD ST / JERROLD AV,-122.3893106,37.73874184,"(37.738741839511, -122.389310644607)"
140003348,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,4/5/2015,9:10,MISSION,"ARREST, CITED",16TH ST / MISSION ST,-122.4196718,37.76505012,"(37.7650501214668, -122.419671780296)"
140003354,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,4/6/2015,9:14,BAYVIEW,"ARREST, CITED",GILMAN AV / JENNINGS ST,-122.3937392,37.72140909,"(37.7214090925114, -122.393739160349)"
140003520,ASSAULT,BATTERY,Thursday,4/7/2015,10:00,SOUTHERN,NONE,MARKET ST / 11TH ST,-122.4186983,37.77558941,"(37.7755894130051, -122.418698328939)"
140003865,DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,4/8/2015,11:57,MISSION,"ARREST, BOOKED",16TH ST / CALEDONIA ST,-122.4213819,37.76494809,"(37.7649480897345, -122.421381948278)"
140003865,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,4/9/2015,11:57,MISSION,"ARREST, BOOKED",16TH ST / CALEDONIA ST,-122.4213819,37.76494809,"(37.7649480897345, -122.421381948278)"
140003865,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,4/10/2015,11:57,MISSION,"ARREST, BOOKED",16TH ST / CALEDONIA ST,-122.4213819,37.76494809,"(37.7649480897345, -122.421381948278)"
140003865,WARRANTS,WARRANT ARREST,Thursday,4/11/2015,11:57,MISSION,"ARREST, BOOKED",16TH ST / CALEDONIA ST,-122.4213819,37.76494809,"(37.7649480897345, -122.421381948278)"
140005667,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,4/12/2015,21:02,INGLESIDE,"ARREST, BOOKED",MISSION ST / EXCELSIOR AV,-122.4336234,37.72623583,"(37.7262358304722, -122.433623421746)"
140005667,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,4/13/2015,21:02,INGLESIDE,"ARREST, BOOKED",MISSION ST / EXCELSIOR AV,-122.4336234,37.72623583,"(37.7262358304722, -122.433623421746)"
140003940,MISSING PERSON,FOUND PERSON,Saturday,4/14/2015,13:00,NORTHERN,LOCATED,STEINER ST / CHESTNUT ST,-122.4378936,37.80060753,"(37.8006075331583, -122.43789359965)"
140004170,SECONDARY CODES,DOMESTIC VIOLENCE,Thursday,4/15/2015,13:00,BAYVIEW,NONE,QUESADA AV / 3RD ST,-122.3912456,37.7332252,"(37.7332252032804, -122.391245623019)"
140004170,VANDALISM,"MALICIOUS MISCHIEF, TIRE SLASHING",Thursday,4/16/2015,13:00,BAYVIEW,NONE,QUESADA AV / 3RD ST,-122.3912456,37.7332252,"(37.7332252032804, -122.391245623019)"
140004283,OTHER OFFENSES,PAROLE VIOLATION,Thursday,4/17/2015,13:30,CENTRAL,"ARREST, BOOKED",SUTTER ST / STOCKTON ST,-122.4069587,37.78943476,"(37.789434763004, -122.406958660602)"
140004283,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,4/18/2015,13:30,CENTRAL,"ARREST, BOOKED",SUTTER ST / STOCKTON ST,-122.4069587,37.78943476,"(37.789434763004, -122.406958660602)"
140004556,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Thursday,4/19/2015,14:53,SOUTHERN,"ARREST, BOOKED",6TH ST / MISSION ST,-122.4087106,37.78097067,"(37.7809706722053, -122.408710606663)"
140004556,OTHER OFFENSES,PROBATION VIOLATION,Thursday,4/20/2015,14:53,SOUTHERN,"ARREST, BOOKED",6TH ST / MISSION ST,-122.4087106,37.78097067,"(37.7809706722053, -122.408710606663)"
140004556,OTHER OFFENSES,RESISTING ARREST,Thursday,4/21/2015,14:53,SOUTHERN,"ARREST, BOOKED",6TH ST / MISSION ST,-122.4087106,37.78097067,"(37.7809706722053, -122.408710606663)"
140004578,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,4/22/2015,13:00,NORTHERN,NONE,LOMBARD ST / LARKIN ST,-122.4212614,37.80175869,"(37.8017586868008, -122.42126135848)"
140004631,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,4/23/2015,12:45,BAYVIEW,NONE,FELTON ST / SAN BRUNO AV,-122.4045941,37.730038,"(37.7300379995128, -122.404594140634)"
140004681,ASSAULT,BATTERY,Thursday,4/24/2015,15:20,INGLESIDE,NONE,SENECA AV / MISSION ST,-122.4401056,37.71766589,"(37.7176658949309, -122.440105592045)"
140004932,NON-CRIMINAL,AIDED CASE,Thursday,4/25/2015,16:14,BAYVIEW,NONE,CONNECTICUT ST / 20TH ST,-122.3972513,37.75996876,"(37.7599687625377, -122.397251342762)"
140004954,NON-CRIMINAL,LOST PROPERTY,Thursday,4/26/2015,15:00,BAYVIEW,NONE,WILLIAMS AV / NEWHALL ST,-122.3973909,37.72993997,"(37.7299399677433, -122.397390891502)"
140004982,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,4/27/2015,16:10,TENDERLOIN,"ARREST, BOOKED",TURK ST / TAYLOR ST,-122.4107688,37.78321452,"(37.7832145190013, -122.410768766343)"
140004982,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,4/28/2015,16:10,TENDERLOIN,"ARREST, BOOKED",TURK ST / TAYLOR ST,-122.4107688,37.78321452,"(37.7832145190013, -122.410768766343)"
140004982,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,4/29/2015,16:10,TENDERLOIN,"ARREST, BOOKED",TURK ST / TAYLOR ST,-122.4107688,37.78321452,"(37.7832145190013, -122.410768766343)"
140005247,DRUG/NARCOTIC,POSSESSION OF COCAINE,Wednesday,4/30/2015,18:14,TENDERLOIN,"ARREST, BOOKED",HYDE ST / GOLDEN GATE AV,-122.4155082,37.78165428,"(37.7816542806076, -122.415508242782)"
140005247,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Wednesday,5/1/2015,18:14,TENDERLOIN,"ARREST, BOOKED",HYDE ST / GOLDEN GATE AV,-122.4155082,37.78165428,"(37.7816542806076, -122.415508242782)"
140005247,WARRANTS,WARRANT ARREST,Wednesday,5/2/2015,18:14,TENDERLOIN,"ARREST, BOOKED",HYDE ST / GOLDEN GATE AV,-122.4155082,37.78165428,"(37.7816542806076, -122.415508242782)"
140005300,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,5/3/2015,14:10,MISSION,PSYCHOPATHIC CASE,CAPP ST / 16TH ST,-122.418701,37.76510988,"(37.7651098786222, -122.418701003284)"
140005485,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,5/4/2015,19:46,SOUTHERN,"ARREST, BOOKED",MARKET ST / TAYLOR ST,-122.4102935,37.78223059,"(37.7822305870036, -122.41029351969)"
140005504,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,5/5/2015,14:00,MISSION,NONE,16TH ST / MARKET ST,-122.4330752,37.76419378,"(37.7641937790242, -122.433075152403)"
140005667,FRAUD,"CREDIT CARD, INCOMPLETE OR COUNTERFEIT",Thursday,5/6/2015,21:02,INGLESIDE,"ARREST, BOOKED",MISSION ST / EXCELSIOR AV,-122.4336234,37.72623583,"(37.7262358304722, -122.433623421746)"
140005667,DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,5/7/2015,21:02,INGLESIDE,"ARREST, BOOKED",MISSION ST / EXCELSIOR AV,-122.4336234,37.72623583,"(37.7262358304722, -122.433623421746)"
140005667,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Thursday,5/8/2015,21:02,INGLESIDE,"ARREST, BOOKED",MISSION ST / EXCELSIOR AV,-122.4336234,37.72623583,"(37.7262358304722, -122.433623421746)"
140006029,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,5/9/2015,23:58,MISSION,"ARREST, CITED",24TH ST / POTRERO AV,-122.4063384,37.75300429,"(37.7530042877223, -122.406338412685)"
140006079,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,5/10/2015,20:00,NORTHERN,NONE,POST ST / WEBSTER ST,-122.4313698,37.78537304,"(37.7853730435472, -122.431369772433)"
140006110,DRUG/NARCOTIC,POSSESSION OF HEROIN,Friday,5/11/2015,0:30,TENDERLOIN,"ARREST, BOOKED",EDDY ST / TAYLOR ST,-122.4109552,37.78413995,"(37.7841399509594, -122.410955248906)"
140006110,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,5/12/2015,0:30,TENDERLOIN,"ARREST, BOOKED",EDDY ST / TAYLOR ST,-122.4109552,37.78413995,"(37.7841399509594, -122.410955248906)"
140006110,OTHER OFFENSES,PROBATION VIOLATION,Friday,5/13/2015,0:30,TENDERLOIN,"ARREST, BOOKED",EDDY ST / TAYLOR ST,-122.4109552,37.78413995,"(37.7841399509594, -122.410955248906)"
140006217,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,5/14/2015,1:00,CENTRAL,"ARREST, CITED",POWELL ST / GEARY ST,-122.408231,37.78735949,"(37.787359494956, -122.408231026261)"
140006552,ROBBERY,"ROBBERY, BODILY FORCE",Friday,5/15/2015,7:59,CENTRAL,NONE,PINE ST / MASON ST,-122.4106268,37.79088068,"(37.790880683394, -122.410626812815)"
140006687,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,5/16/2015,0:01,CENTRAL,NONE,POWELL ST / SUTTER ST,-122.4085974,37.78922421,"(37.789224205873, -122.408597386677)"
140006762,ASSAULT,BATTERY,Wednesday,5/17/2015,1:00,CENTRAL,NONE,BATTERY ST / PINE ST,-122.3997656,37.79225932,"(37.7922593176775, -122.399765570157)"
140006790,NON-CRIMINAL,FOUND PROPERTY,Thursday,5/18/2015,22:02,BAYVIEW,NONE,3RD ST / LECONTE AV,-122.3974809,37.71883544,"(37.7188354421048, -122.397480899382)"
140006988,NON-CRIMINAL,LOST PROPERTY,Thursday,5/19/2015,16:00,TENDERLOIN,NONE,GEARY ST / POWELL ST,-122.408231,37.78735949,"(37.787359494956, -122.408231026261)"
140008661,OTHER OFFENSES,PAROLE VIOLATION,Friday,5/20/2015,19:34,MISSION,EXCEPTIONAL CLEARANCE,16TH ST / MISSION ST,-122.4196718,37.76505012,"(37.7650501214668, -122.419671780296)"
140008718,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,5/21/2015,21:18,TENDERLOIN,"ARREST, CITED",EDDY ST / TAYLOR ST,-122.4109552,37.78413995,"(37.7841399509594, -122.410955248906)"
140008718,LIQUOR LAWS,CONSUMING ALCOHOL IN PUBLIC VIEW,Friday,5/22/2015,21:18,TENDERLOIN,"ARREST, CITED",EDDY ST / TAYLOR ST,-122.4109552,37.78413995,"(37.7841399509594, -122.410955248906)"
140009051,ASSAULT,BATTERY,Friday,5/23/2015,23:35,PARK,NONE,HAIGHT ST / BUENAVISTAWEST AV,-122.4433119,37.77046975,"(37.7704697548539, -122.443311949602)"
140009114,ASSAULT,BATTERY,Friday,5/24/2015,22:50,NORTHERN,NONE,POLK ST / GEARY ST,-122.4197398,37.78589261,"(37.7858926099715, -122.419739837805)"
140009114,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Friday,5/25/2015,22:50,NORTHERN,NONE,POLK ST / GEARY ST,-122.4197398,37.78589261,"(37.7858926099715, -122.419739837805)"
140011959,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Sunday,5/26/2015,1:31,RICHMOND,"ARREST, BOOKED",GEARY BL / 10TH AV,-122.4685642,37.78082152,"(37.780821519541, -122.46856416247)"
140013115,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,5/27/2015,15:17,NORTHERN,"ARREST, BOOKED",BAY ST / FRANKLIN ST,-122.4267565,37.80393523,"(37.8039352307409, -122.4267565336)"
140013115,WARRANTS,WARRANT ARREST,Sunday,5/28/2015,15:17,NORTHERN,"ARREST, BOOKED",BAY ST / FRANKLIN ST,-122.4267565,37.80393523,"(37.8039352307409, -122.4267565336)"
146000205,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,5/29/2015,2:20,CENTRAL,NONE,GEARY ST / STOCKTON ST,-122.4065923,37.7875673,"(37.7875673013055, -122.406592269796)"
146000227,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,5/30/2015,15:45,CENTRAL,NONE,STOCKTON ST / SUTTER ST,-122.4069587,37.78943476,"(37.789434763004, -122.406958660602)"
